Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
Eugenio Suárez,78,319,25,48,67,1,6.60%,25.70%,0.318,0.256,0.251,0.323,0.569,0.377,0.362,140,-3.3,11.8,-0.6,2.2,6.60%,25.70%,0.26,0.251,0.323,0.569,0.892,0.318,2.8,0.256,-3.1,-0.2,53,16.1,0.377,140,0.256,0.6,20.50%,29.80%,49.80%,5.90%,24.50%,3,4.90%,0,0.00%,47.30%,35.60%,17.10%,14.60%,47.80%,37.60%,213,92.5,107.4,112,12,21,9.90%,119,55.90%,0.309,0.305,0.432,0.498,0.342,0.364
Fernando Tatis Jr.,77,338,15,57,37,15,10.90%,17.50%,0.196,0.283,0.264,0.352,0.459,0.353,0.39,129,3.1,14.7,7.1,3.4,10.90%,17.50%,0.63,0.264,0.352,0.459,0.812,0.196,6.3,0.283,1.4,1.6,50,10.5,0.353,129,0.283,1.53,16.00%,50.80%,33.20%,6.30%,19.00%,11,9.10%,0,0.00%,37.80%,37.80%,24.40%,12.60%,50.00%,37.40%,211,91.5,106.6,112.3,6.5,23,10.90%,101,47.90%,0.233,0.276,0.373,0.503,0.298,0.363
Francisco Lindor,78,354,16,49,42,13,7.90%,18.10%,0.198,0.286,0.268,0.339,0.466,0.348,0.346,126,2.3,13,4.2,3,7.90%,18.10%,0.44,0.268,0.339,0.466,0.805,0.198,4.9,0.286,1.1,1.2,51,9.6,0.348,126,0.286,1.13,19.00%,42.90%,38.10%,12.50%,16.70%,6,5.60%,2,100.00%,44.30%,36.80%,19.00%,17.00%,51.00%,32.00%,219,91.8,109.2,117.4,7.1,35,16.00%,104,47.50%,0.274,0.267,0.511,0.516,0.367,0.363
Freddie Freeman,68,288,9,41,41,0,9.70%,20.50%,0.197,0.376,0.315,0.385,0.512,0.383,0.376,148,-0.7,15.5,-3.1,2.3,9.70%,20.50%,0.47,0.315,0.385,0.512,0.897,0.197,2.6,0.376,0.2,-0.9,49,15.8,0.383,148,0.376,1.11,25.30%,39.40%,35.40%,2.90%,12.90%,6,7.70%,0,0.00%,40.90%,33.80%,25.30%,9.60%,53.00%,37.40%,205,91.1,106.9,111.8,23.4,30,14.60%,105,51.20%,0.251,0.244,0.569,0.53,0.377,0.362
Gabriel Arias,72,266,5,27,27,3,6.40%,31.20%,0.129,0.323,0.228,0.291,0.357,0.287,0.299,84,-0.7,-5.7,3.9,0.7,6.40%,31.20%,0.2,0.228,0.291,0.357,0.647,0.129,3,0.323,0.3,-1,25,-5.7,0.287,84,0.323,1.66,16.40%,52.20%,31.40%,8.00%,10.00%,9,10.80%,1,50.00%,44.70%,34.80%,20.50%,18.60%,48.40%,32.90%,161,96.3,114.3,122.9,8.2,36,22.40%,93,57.80%,0.208,0.239,0.404,0.477,0.318,0.362
Gavin Lux,72,265,4,24,35,1,12.10%,23.40%,0.12,0.347,0.266,0.355,0.386,0.332,0.309,105,-0.7,0.7,-7.1,0.2,12.10%,23.40%,0.52,0.266,0.355,0.386,0.741,0.12,3,0.347,-0.5,-0.3,34,3.7,0.332,105,0.347,1.43,24.60%,44.40%,31.00%,5.70%,7.50%,2,2.60%,0,0.00%,38.60%,42.10%,19.30%,13.50%,55.00%,31.60%,192,90,104,110.5,21.3,27,14.10%,82,42.70%,0.223,0.237,0.47,0.51,0.341,0.361
Gavin Sheets,76,282,12,32,46,1,7.80%,20.60%,0.196,0.298,0.267,0.326,0.463,0.342,0.351,122,-1.6,5.6,-4.9,1,7.80%,20.60%,0.38,0.267,0.326,0.463,0.789,0.196,3,0.298,-1.4,-0.2,39,6.3,0.342,122,0.298,0.83,21.50%,35.50%,43.00%,15.10%,14.00%,5,7.00%,0,0.00%,40.50%,35.00%,24.50%,12.50%,49.50%,38.00%,216,86.4,101.7,110.1,13.3,12,5.60%,69,31.90%,0.284,0.283,0.388,0.409,0.355,0.36
George Springer,73,285,11,40,36,7,12.60%,21.80%,0.21,0.296,0.256,0.354,0.466,0.355,0.389,131,0.6,10.9,-11.2,1,12.60%,21.80%,0.58,0.256,0.354,0.466,0.82,0.21,5.7,0.296,-0.3,0.9,42,9.4,0.355,131,0.296,0.84,21.10%,36.10%,42.80%,11.70%,14.30%,4,6.20%,0,0.00%,41.10%,36.10%,22.80%,13.90%,52.80%,33.30%,167,89.3,105.4,110.4,16.5,14,8.40%,71,42.50%,0.248,0.267,0.402,0.467,0.332,0.36
Geraldo Perdomo,78,343,8,41,53,11,12.80%,11.40%,0.151,0.267,0.26,0.355,0.411,0.337,0.323,113,2.7,8,3.4,2.3,12.80%,11.40%,1.13,0.26,0.355,0.411,0.765,0.151,5.3,0.267,1.5,1.2,46,6.3,0.337,113,0.267,0.96,20.20%,39.10%,40.70%,12.90%,7.90%,5,5.20%,3,33.30%,40.50%,32.30%,27.20%,14.40%,54.90%,30.70%,216,89.5,104.1,112.7,12.6,17,7.90%,91,42.10%,0.287,0.29,0.491,0.464,0.369,0.36
Gleyber Torres,67,290,7,38,38,4,13.80%,12.10%,0.136,0.299,0.281,0.386,0.417,0.358,0.397,133,-1.3,9.6,-1.6,1.8,13.80%,12.10%,1.14,0.281,0.386,0.417,0.804,0.136,3.4,0.299,-1.1,-0.2,44,10.1,0.358,133,0.299,0.91,22.30%,37.00%,40.80%,8.10%,8.10%,3,3.80%,0,0.00%,35.10%,37.90%,27.00%,10.90%,54.50%,34.60%,217,91.4,107.2,114,9.9,28,12.90%,103,47.50%,0.257,0.267,0.443,0.481,0.342,0.358
Gunnar Henderson,72,305,8,40,23,9,9.80%,24.60%,0.154,0.353,0.275,0.351,0.429,0.339,0.333,121,2.9,10.4,-2.1,1.9,9.80%,24.60%,0.4,0.275,0.351,0.429,0.779,0.154,5.9,0.353,2.4,0.5,41,6.2,0.339,121,0.353,1.48,18.70%,48.50%,32.80%,12.30%,12.30%,4,4.20%,0,0.00%,37.40%,34.80%,27.80%,12.60%,51.50%,35.90%,232,90.1,105.3,111.5,23.6,33,14.20%,100,43.10%,0.273,0.27,0.563,0.54,0.37,0.358
Heliot Ramos,77,336,13,48,43,5,8.30%,23.50%,0.19,0.345,0.286,0.363,0.476,0.365,0.352,136,-0.9,13.2,-8.9,1.6,8.30%,23.50%,0.35,0.286,0.363,0.476,0.839,0.19,4.1,0.345,0.3,-1.2,53,13.6,0.365,136,0.345,1.35,17.40%,47.50%,35.20%,7.80%,16.90%,13,12.50%,0,0.00%,37.90%,36.50%,25.60%,16.40%,53.40%,30.10%,187,89.5,108.3,112.5,11.1,24,12.80%,81,43.30%,0.266,0.283,0.5,0.51,0.343,0.357
Hunter Goodman,75,307,14,40,48,1,5.50%,26.70%,0.227,0.356,0.287,0.332,0.514,0.364,0.336,120,-0.6,6.6,-0.6,1.7,5.50%,26.70%,0.21,0.287,0.332,0.514,0.846,0.227,3.8,0.356,0.4,-1,48,12.2,0.364,120,0.356,0.85,20.50%,36.60%,42.90%,10.20%,15.90%,8,10.70%,0,0.00%,47.30%,35.10%,17.60%,14.60%,42.40%,42.90%,209,92.1,106.5,112.2,13,26,12.40%,97,46.40%,0.264,0.276,0.461,0.514,0.336,0.357
Ian Happ,70,329,11,50,38,4,12.20%,22.20%,0.165,0.289,0.246,0.337,0.411,0.331,0.347,113,-2.8,2.2,-2.6,1.1,12.20%,22.20%,0.55,0.246,0.337,0.411,0.748,0.165,3.9,0.289,-2.7,-0.2,42,4.4,0.331,113,0.289,0.86,25.20%,34.60%,40.20%,10.50%,12.80%,8,10.80%,1,100.00%,40.50%,30.70%,28.80%,16.30%,53.00%,30.70%,195,87.7,103.8,109.9,7.7,14,7.20%,67,34.40%,0.245,0.294,0.354,0.469,0.296,0.357
Isaac Paredes,75,325,16,40,45,0,12.90%,17.50%,0.217,0.263,0.254,0.36,0.471,0.364,0.339,137,-0.9,13,1.1,2.6,12.90%,17.50%,0.74,0.254,0.36,0.471,0.831,0.217,2.1,0.263,0.1,-1,51,12.9,0.364,137,0.263,0.75,23.10%,33.00%,43.90%,12.40%,16.50%,3,4.10%,0,0.00%,55.20%,29.90%,14.90%,14.90%,55.70%,29.40%,253,89.2,104.5,111.6,20.1,20,7.90%,100,39.50%,0.317,0.303,0.518,0.47,0.379,0.356
J.P. Crawford,75,324,6,35,30,5,15.40%,17.30%,0.104,0.338,0.284,0.399,0.388,0.355,0.36,136,-0.9,12.6,-2.4,2.2,15.40%,17.30%,0.89,0.284,0.399,0.388,0.787,0.104,3.1,0.338,-0.8,-0.1,48,10.7,0.355,136,0.338,1.15,28.20%,38.50%,33.30%,9.90%,8.50%,6,7.30%,0,0.00%,31.00%,31.90%,37.00%,21.30%,56.90%,21.80%,230,89.9,105.6,109.9,12.8,20,8.70%,95,41.30%,0.288,0.286,0.432,0.487,0.338,0.355
J.T. Realmuto,65,266,5,29,27,5,8.30%,23.70%,0.116,0.31,0.244,0.312,0.36,0.299,0.319,88,-0.2,-4,1.1,0.6,8.30%,23.70%,0.35,0.244,0.312,0.36,0.672,0.116,4.7,0.31,-0.4,0.2,27,-3.3,0.299,88,0.31,1.62,19.60%,49.70%,30.70%,5.50%,9.10%,5,5.60%,0,0.00%,43.00%,33.00%,24.00%,14.00%,56.40%,29.60%,167,91.8,107.6,112.5,17.4,26,15.60%,91,54.50%,0.28,0.254,0.559,0.511,0.382,0.355
Jackson Chourio,79,356,12,51,46,15,3.90%,20.20%,0.189,0.292,0.257,0.287,0.445,0.315,0.302,99,2.2,2,-0.1,1.4,3.90%,20.20%,0.19,0.257,0.287,0.445,0.732,0.189,7.1,0.292,1.7,0.6,41,0.3,0.315,99,0.292,1.12,19.50%,42.50%,38.00%,11.90%,11.90%,15,13.30%,2,66.70%,33.80%,38.70%,27.50%,22.30%,46.10%,31.60%,250,89.8,105,117.9,10,15,6.00%,109,43.60%,0.303,0.299,0.467,0.456,0.358,0.354
Jackson Holliday,72,299,9,32,32,8,5.40%,23.40%,0.154,0.32,0.262,0.311,0.416,0.319,0.34,107,-0.7,1.7,-2.2,1,5.40%,23.40%,0.23,0.262,0.311,0.416,0.727,0.154,4.8,0.32,0.6,-1.3,36,1.1,0.319,107,0.32,1.39,19.70%,46.60%,33.70%,2.90%,12.90%,9,9.30%,0,0.00%,30.60%,43.50%,25.80%,12.40%,56.00%,31.60%,175,94.4,106.7,112,15.7,23,13.10%,90,51.40%,0.225,0.24,0.41,0.474,0.326,0.353
Jacob Wilson,75,318,9,41,40,5,5.70%,6.30%,0.142,0.356,0.353,0.394,0.495,0.388,0.329,153,0.2,19.4,1.3,3.3,5.70%,6.30%,0.9,0.353,0.394,0.495,0.889,0.142,3.4,0.356,0.3,-0.1,56,18.7,0.388,153,0.356,2.1,21.90%,52.90%,25.20%,7.20%,13.00%,10,6.90%,2,66.70%,36.80%,38.60%,24.50%,15.20%,64.60%,20.20%,219,91,107,116,9.6,24,11.00%,94,42.90%,0.286,0.258,0.476,0.472,0.365,0.352
Jake Burger,65,249,10,27,29,1,3.20%,26.10%,0.182,0.258,0.22,0.253,0.403,0.283,0.32,80,-0.6,-6.4,-4.9,-0.3,3.20%,26.10%,0.12,0.22,0.253,0.403,0.656,0.182,2.6,0.258,-0.1,-0.5,23,-6.2,0.283,80,0.258,0.85,15.60%,38.70%,45.70%,13.90%,12.70%,5,7.50%,0,0.00%,36.40%,39.30%,24.30%,20.20%,41.00%,38.70%,232,89.2,104.5,110.6,16.2,21,9.10%,91,39.20%,0.294,0.292,0.514,0.488,0.362,0.352
Jake Meyers,77,279,3,36,20,13,8.20%,17.60%,0.096,0.368,0.307,0.365,0.402,0.34,0.332,121,-0.2,6.4,4.2,2.1,8.20%,17.60%,0.47,0.307,0.365,0.402,0.767,0.096,5.3,0.368,-0.2,0,38,5.8,0.34,121,0.368,1.62,25.50%,46.10%,28.40%,10.30%,5.20%,4,4.30%,0,0.00%,31.60%,45.10%,23.30%,12.60%,50.00%,37.40%,237,89.2,105.2,110.5,9.8,21,8.90%,101,42.60%,0.262,0.277,0.376,0.468,0.312,0.351
James Wood,80,353,22,50,63,9,13.30%,26.90%,0.281,0.335,0.281,0.377,0.561,0.399,0.413,158,-0.3,23.6,-2.4,3.4,13.30%,26.90%,0.49,0.281,0.377,0.561,0.938,0.281,3.5,0.335,0.1,-0.4,65,24,0.399,158,0.335,1.58,17.60%,50.50%,31.90%,1.50%,32.80%,10,9.40%,0,0.00%,31.00%,41.00%,28.10%,12.40%,45.70%,41.90%,200,92,105.3,110.1,16.8,20,10.00%,106,53.00%,0.267,0.27,0.463,0.481,0.342,0.351
Jarren Duran,80,368,5,40,38,15,6.00%,23.60%,0.151,0.331,0.257,0.311,0.408,0.314,0.319,95,2.3,0.3,-6.1,0.7,6.00%,23.60%,0.25,0.257,0.311,0.408,0.719,0.151,7.3,0.331,1.8,0.5,43,-0.1,0.314,95,0.331,1.22,19.40%,44.30%,36.40%,9.80%,5.40%,10,8.90%,0,0.00%,34.60%,36.60%,28.70%,13.40%,53.90%,32.70%,198,89.9,105.1,111,15.7,17,8.60%,78,39.40%,0.227,0.26,0.372,0.453,0.309,0.35
Jasson Domínguez,66,247,6,32,27,10,12.10%,27.90%,0.137,0.319,0.241,0.332,0.377,0.316,0.33,102,2,2.7,-6.8,0.4,12.10%,27.90%,0.43,0.241,0.332,0.377,0.709,0.137,5.1,0.319,0.9,1.2,29,0.3,0.316,102,0.319,1.07,17.00%,42.90%,40.10%,10.20%,10.20%,6,9.50%,0,0.00%,42.20%,33.30%,24.50%,19.00%,37.40%,43.50%,256,88.2,104.9,109.9,8.3,20,7.80%,106,41.40%,0.326,0.289,0.495,0.448,0.381,0.348
Jeremy Peña,79,339,11,47,40,15,5.90%,15.90%,0.169,0.365,0.326,0.382,0.495,0.381,0.348,150,2.6,21.9,5,4,5.90%,15.90%,0.37,0.326,0.382,0.495,0.877,0.169,5.7,0.365,1.1,1.6,57,18.2,0.381,150,0.365,1.55,19.70%,48.80%,31.50%,8.80%,13.80%,16,12.90%,0,0.00%,44.90%,34.00%,21.10%,15.20%,53.10%,31.60%,215,89.2,105.7,112,17.6,20,9.30%,85,39.50%,0.246,0.259,0.411,0.44,0.331,0.347
Jo Adell,72,252,16,28,39,3,6.70%,24.60%,0.248,0.236,0.226,0.303,0.473,0.337,0.376,116,0.4,4.9,-5.5,0.8,6.70%,24.60%,0.27,0.226,0.303,0.473,0.776,0.248,3.3,0.236,0.1,0.3,34,4.7,0.337,116,0.236,0.85,17.70%,37.80%,44.50%,9.60%,21.90%,3,4.80%,0,0.00%,42.70%,29.30%,28.00%,17.10%,47.60%,35.40%,236,91.4,109.5,116.5,8.9,26,11.00%,116,49.20%,0.264,0.27,0.521,0.492,0.354,0.347
Joey Ortiz,78,274,4,31,18,8,6.20%,16.80%,0.08,0.251,0.217,0.275,0.297,0.259,0.29,61,0.8,-11.7,5.8,0.3,6.20%,16.80%,0.37,0.217,0.275,0.297,0.572,0.08,4.7,0.251,0.8,0,20,-12.1,0.259,61,0.251,1.17,18.90%,43.80%,37.30%,13.30%,5.30%,6,6.80%,0,0.00%,29.30%,36.10%,34.60%,25.50%,48.10%,26.40%,228,90.5,107.1,114.8,18.5,31,13.60%,103,45.20%,0.235,0.279,0.392,0.499,0.29,0.346
Jonathan Aranda,74,286,8,40,41,0,10.50%,23.40%,0.158,0.425,0.332,0.416,0.49,0.397,0.403,163,-5.2,15.4,-5.2,2.1,10.50%,23.40%,0.45,0.332,0.416,0.49,0.906,0.158,1.7,0.425,-4.1,-1,52,18.9,0.397,163,0.425,1.29,25.80%,41.80%,32.40%,10.20%,13.60%,4,5.30%,0,0.00%,41.80%,34.10%,24.20%,14.30%,48.40%,37.40%,254,90.6,104.4,109.7,13.5,23,9.10%,111,43.70%,0.268,0.264,0.466,0.463,0.348,0.346
Jonathan India,71,306,4,29,22,0,9.20%,14.10%,0.095,0.268,0.238,0.314,0.333,0.292,0.337,81,-1.2,-7.9,-7.6,-0.5,9.20%,14.10%,0.65,0.238,0.314,0.333,0.647,0.095,1.8,0.268,0.5,-1.7,30,-5.5,0.292,81,0.268,0.9,19.00%,38.40%,42.70%,14.10%,4.00%,6,6.70%,0,0.00%,49.60%,27.60%,22.80%,15.10%,53.90%,31.00%,224,92.6,109.5,113.2,17.1,33,14.70%,113,50.40%,0.275,0.262,0.438,0.482,0.334,0.346
Jordan Beck,68,272,10,38,28,9,7.00%,27.90%,0.213,0.348,0.269,0.327,0.482,0.349,0.332,110,0.5,3.7,-2.3,1.1,7.00%,27.90%,0.25,0.269,0.327,0.482,0.809,0.213,7.1,0.348,0.7,-0.2,39,7.7,0.349,110,0.348,1,20.20%,39.90%,39.90%,10.10%,14.50%,7,10.10%,1,100.00%,47.10%,28.70%,24.10%,17.20%,43.10%,39.70%,217,89.9,105.3,109.3,13.8,25,11.50%,96,44.20%,0.237,0.263,0.418,0.482,0.305,0.344
Jorge Soler,67,265,8,25,26,0,8.30%,29.80%,0.143,0.27,0.207,0.28,0.35,0.281,0.286,76,-0.6,-7.9,-7.1,-0.6,8.30%,29.80%,0.28,0.207,0.28,0.35,0.631,0.143,1.2,0.27,-0.3,-0.4,24,-7.1,0.281,76,0.27,1.13,16.30%,44.40%,39.40%,12.70%,12.70%,5,7.00%,0,0.00%,49.40%,36.30%,14.40%,15.00%,53.10%,31.90%,189,91.3,106.9,112.3,13.5,19,10.10%,94,49.70%,0.237,0.236,0.398,0.407,0.338,0.344
Jose Altuve,76,322,12,36,34,6,7.80%,16.10%,0.157,0.284,0.266,0.323,0.423,0.323,0.297,109,-1.9,1.5,-5.6,0.7,7.80%,16.10%,0.48,0.266,0.323,0.423,0.746,0.157,2.9,0.284,-0.5,-1.3,40,2.3,0.323,109,0.284,1.17,15.80%,45.40%,38.80%,15.10%,12.90%,17,15.60%,3,75.00%,54.10%,29.50%,16.40%,20.50%,51.20%,28.30%,244,91.2,105.5,110.3,9.4,15,6.10%,108,44.30%,0.311,0.288,0.488,0.44,0.373,0.344
José Ramírez,75,318,13,43,36,20,8.50%,11.00%,0.201,0.321,0.317,0.377,0.518,0.379,0.356,148,1.6,19,1.4,3.2,8.50%,11.00%,0.77,0.317,0.377,0.518,0.895,0.201,5.6,0.321,0.1,1.4,53,16.6,0.379,148,0.321,0.69,21.30%,32.00%,46.60%,11.90%,11.00%,11,13.60%,0,0.00%,50.20%,32.00%,17.80%,19.00%,51.00%,30.00%,225,91.5,105.7,109.8,11.7,24,10.70%,112,49.80%,0.251,0.267,0.459,0.466,0.334,0.343
Josh Bell,68,266,10,23,28,0,9.40%,18.00%,0.152,0.2,0.194,0.278,0.346,0.279,0.331,76,-3,-10.5,-6.5,-0.9,9.40%,18.00%,0.52,0.194,0.278,0.346,0.624,0.152,1.9,0.2,-2.2,-0.8,23,-7.4,0.279,76,0.2,1.41,13.70%,50.50%,35.80%,7.40%,14.70%,4,4.20%,0,0.00%,42.60%,33.70%,23.70%,16.80%,51.60%,31.60%,195,88.9,103.5,110.2,14.1,19,9.70%,86,44.10%,0.259,0.269,0.406,0.44,0.328,0.342
Josh Jung,69,273,7,24,31,4,5.50%,23.80%,0.129,0.299,0.242,0.289,0.371,0.292,0.32,85,-0.6,-5.2,3,0.7,5.50%,23.80%,0.23,0.242,0.289,0.371,0.66,0.129,4,0.299,-0.6,0,27,-4.9,0.292,85,0.299,1.2,25.10%,40.80%,34.00%,12.30%,10.80%,9,11.50%,0,0.00%,38.70%,34.60%,26.70%,18.30%,44.50%,37.20%,157,89.6,106.4,113.9,6,11,7.00%,74,47.10%,0.266,0.277,0.401,0.435,0.328,0.342
Josh Naylor,75,317,9,41,51,10,7.90%,12.90%,0.164,0.325,0.303,0.358,0.467,0.358,0.354,127,-1.3,8.8,-6.8,1.3,7.90%,12.90%,0.61,0.303,0.358,0.467,0.824,0.164,5.1,0.325,-2,0.7,48,11,0.358,127,0.325,1.32,18.10%,46.60%,35.30%,3.40%,10.20%,3,2.60%,0,0.00%,43.80%,37.30%,18.90%,16.10%,49.00%,34.90%,242,89,104.2,108.5,15.9,23,9.50%,96,39.70%,0.285,0.278,0.443,0.471,0.334,0.341
Josh Smith,67,262,7,34,21,8,9.20%,17.20%,0.145,0.322,0.282,0.352,0.427,0.343,0.334,121,1.5,7.8,0.2,1.7,9.20%,17.20%,0.53,0.282,0.352,0.427,0.78,0.145,4.9,0.322,1.5,-0.1,36,6,0.343,121,0.322,1.04,20.30%,40.60%,39.00%,11.00%,9.60%,4,5.30%,2,66.70%,35.80%,35.80%,28.40%,18.90%,48.90%,32.10%,240,87.8,101,109.8,13.2,13,5.40%,67,27.90%,0.278,0.274,0.404,0.416,0.34,0.341
Juan Soto,79,352,17,56,43,9,18.80%,15.90%,0.231,0.255,0.253,0.392,0.484,0.378,0.458,147,0.3,19.6,-10.3,2.1,18.80%,15.90%,1.18,0.253,0.392,0.484,0.876,0.231,4.3,0.255,-0.4,0.7,59,18.1,0.378,147,0.255,1.35,17.50%,47.40%,35.10%,5.00%,21.30%,6,5.60%,0,0.00%,40.60%,37.10%,22.30%,15.30%,41.90%,42.80%,200,91.6,107.9,113.4,2,15,7.50%,99,49.50%,0.264,0.262,0.458,0.447,0.348,0.34
Julio Rodríguez,77,348,11,48,41,12,6.30%,20.70%,0.157,0.291,0.252,0.31,0.409,0.314,0.338,108,1.4,4.5,7.6,2.5,6.30%,20.70%,0.31,0.252,0.31,0.409,0.719,0.157,6.6,0.291,0.8,0.7,40,0.1,0.314,108,0.291,1.36,16.10%,48.40%,35.50%,11.40%,12.50%,9,7.50%,0,0.00%,37.90%,39.50%,22.60%,16.50%,46.80%,36.70%,219,92.2,106.5,113,17.9,22,10.00%,116,53.00%,0.23,0.247,0.388,0.426,0.322,0.34
